1,14,ACADEMY ACADEMY,PENELOPE GUINESS
2,6,ACADEMY ACE,EWAN RICKMAN
3,6,ACADEMY ADAPTATION,VIVIEN KAHN
4,3,ACADEMY AFFAIR,ALAN MARX
5,3,ACADEMY AFRICAN,CARRIE HANNAH
6,9,ACADEMY AGENT,LISA SPACEK
7,8,ACADEMY AIRPLANE,FRANCES WINFREY
8,7,ACADEMY AIRPORT,FARRAH TOMEI
9,2,ACADEMY ALABAMA,JULIETTE WEAVER
10,15,ACADEMY ALADDIN,ANNETTE FREEMAN
11,4,ACADEMY ALAMO,SOPHIA WINFREY
12,7,ACADEMY ALASKA,JUDY REYNOLDS
13,8,ACADEMY ALI,TIM WASHINGTON
14,11,ACADEMY ALICE,MENA GABLE
15,14,ACADEMY ALIEN,DORIS FONDA
16,16,ACADEMY ALLEY,MARLON LUGOSI
17,7,ACADEMY ALONE,MEL SILVERSTONE
18,16,ACADEMY ALTER,CHARLIZE WAHLBERG
19,10,ACADEMY AMADEUS,RALPH DREYFUSS
20,4,ACADEMY AMELIE,KIM DOUGLAS
21,2,ACADEMY AMERICAN,JON BULLOCK
22,11,ACADEMY AMISTAD,NICOLE GOODING
23,10,ACADEMY ANACONDA,CHARLTON DENCH
24,3,ACADEMY ANALYZE,AUDREY POITIER
25,3,ACADEMY ANGELS,REESE DENCH
26,11,ACADEMY ANNIE,BOB PRESLEY
27,2,ACADEMY ANONYMOUS,JESSICA DAFOE
28,1,ACADEMY ANTHEM,ZERO CHASE
29,16,ACADEMY ANTITRUST,SCARLETT BASINGER
30,10,ACADEMY ANYTHING,CHRIS CRONYN
31,6,ACADEMY APACHE,LAURA LANCASTER
32,9,ACADEMY APOCALYPSE,FRED PRESLEY
33,12,ACADEMY APOLLO,ANDY MCGREGOR
34,14,ACADEMY ARABIA,WILLEM SORVINO
35,11,ACADEMY ARACHNOPHOBIA,CHRIS JOHANSSON
36,11,ACADEMY ARGONAUTS,LUCILLE DENIRO
37,6,ACADEMY ARIZONA,AUDREY DEE
38,9,ACADEMY ARK,FARRAH WINFREY
39,8,ACADEMY ARMAGEDDON,UMA MALDEN
40,7,ACADEMY ARMY,GREG AFFLECK
41,11,ACADEMY ARSENIC,JOE HUSTON
42,10,ACADEMY ARTIST,IAN BALL
43,6,ACADEMY ATLANTIS,LIAM CRONYN
44,12,ACADEMY ATTACKS,SYLVESTER DAFOE
45,9,ACADEMY ATTRACTION,ELVIS BLANCHETT
46,2,ACADEMY AUTUMN,LAURA GARCIA
47,13,ACADEMY BABY,GLENN DRIVER
48,14,ACADEMY BACKLASH,CUBA FONDA
49,13,ACADEMY BADMAN,CARMEN OLIVIER
50,16,ACADEMY BAKED,SALMA VOIGHT
51,5,ACADEMY BALLOON,SPENCER TRACY
52,3,ACADEMY BALLROOM,SALMA DIETRICH
53,8,ACADEMY BANG,CLINT DUKAKIS
54,10,ACADEMY BANGER,ROCK JACKMAN
55,8,ACADEMY BARBARELLA,CATE BRODY
56,15,ACADEMY BAREFOOT,ROCK MCDORMAND
57,7,ACADEMY BASIC,LIAM MOORE
58,2,ACADEMY BEACH,GWYNETH MIRANDA
59,7,ACADEMY BEAR,LAUREN WASHINGTON
60,8,ACADEMY BEAST,SHIRLEY CHASE
61,9,ACADEMY BEAUTY,ROBERT HECHE
62,12,ACADEMY BED,WILLIAM MCQUEEN
63,7,ACADEMY BEDAZZLED,PENELOPE AKROYD
64,14,ACADEMY BEETHOVEN,ANGELINA PESCI
65,4,ACADEMY BEHAVIOR,SANDRA HUNT
66,5,ACADEMY BENEATH,RICHARD MOORE
67,8,ACADEMY BERETS,MERYL RUSH
68,10,ACADEMY BETRAYED,LENA KELLY
69,8,ACADEMY BEVERLY,LIAM COOPER
70,4,ACADEMY BIKINI,AUDREY SOBIESKI
71,8,ACADEMY BILKO,ROBERT DEAN
72,6,ACADEMY BILL,MARLON SILVERSTONE
73,11,ACADEMY BINGO,GARY SPACEK
74,2,ACADEMY BIRCH,PENELOPE NEWMAN
75,6,ACADEMY BIRD,DREW HEPBURN
76,9,ACADEMY BIRDCAGE,HELEN ALLEN
77,5,ACADEMY BIRDS,KEVIN MIRANDA
78,12,ACADEMY BLACKOUT,MARISA FIELD
79,10,ACADEMY BLADE,JULIA MINELLI
80,13,ACADEMY BLANKET,CHARLTON NICHOLSON
81,4,ACADEMY BLINDNESS,MICHELLE MCCONAUGHEY
82,5,ACADEMY BLOOD,MARLON DIAZ
83,11,ACADEMY BLUES,MARLENE TEMPLE
84,3,ACADEMY BOILED,ROBERT JOLIE
85,7,ACADEMY BONNIE,SANDRA PALTROW
86,4,ACADEMY BOOGIE,KEVIN WALKEN
87,16,ACADEMY BOONDOCK,RIP RYDER
88,15,ACADEMY BORN,SCARLETT FINNEY
89,13,ACADEMY BORROWERS,ELVIS RYAN
90,13,ACADEMY BOULEVARD,SCARLETT TAUTOU
91,10,ACADEMY BOUND,KATE MIRANDA
92,12,ACADEMY BOWFINGER,ROBIN KEATON
93,9,ACADEMY BRANNIGAN,RIP BARRYMORE
94,3,ACADEMY BRAVEHEART,EDWARD HAWKE
95,10,ACADEMY BREAKFAST,LAUREN SILVERSTONE
96,1,ACADEMY BREAKING,MARILYN BERGMAN
97,11,ACADEMY BRIDE,NICK WAHLBERG
98,16,ACADEMY BRIGHT,SISSY WEAVER
99,4,ACADEMY BRINGING,VAL HURT
100,3,ACADEMY BROOKLYN,PENELOPE HOPPER
101,13,ACADEMY BROTHERHOOD,GOLDIE WILLIS
102,10,ACADEMY BUBBLE,JODIE CRUISE
103,4,ACADEMY BUCKET,SANDRA MARX
104,11,ACADEMY BUGSY,MEG MALDEN
105,10,ACADEMY BULL,ALAN DENCH
106,10,ACADEMY BULWORTH,SIDNEY ROBBINS
107,8,ACADEMY BUNCH,MAE RYDER
108,15,ACADEMY BUTCH,SISSY GARLAND
109,16,ACADEMY BUTTERFLY,SANDRA BRODY
110,3,ACADEMY CABIN,CHRISTIAN DREYFUSS
111,3,ACADEMY CADDYSHACK,VAL DEAN
112,8,ACADEMY CALENDAR,SUSAN MIRANDA
113,7,ACADEMY CALIFORNIA,JANE JOHANSSON
114,10,ACADEMY CAMELOT,ALICIA CRUISE
115,6,ACADEMY CAMPUS,ANDY ZELLWEGER
116,12,ACADEMY CANDIDATE,SIDNEY FISHER
117,13,ACADEMY CANDLES,MICHAEL SANDLER
118,13,ACADEMY CANYON,RICHARD DUNST
119,2,ACADEMY CAPER,ED CHASE
120,15,ACADEMY CARIBBEAN,ANNE WEAVER
121,10,ACADEMY CAROL,LAUREN COOPER
122,9,ACADEMY CARRIE,NATALIE LOREN
